section,type,id,text
hero,badge,badge_text,継続学習＆コミュニティ
hero,title,main_title_part1,「続く」を科学した
hero,title,main_title_part2,習慣化アプリ
hero,title,app_name,TSUZUKU
hero,button,download_button,アプリをダウンロード
intro,title,intro_title,三日坊主を卒業する方法
intro,description,intro_desc_line1,「早起きしたい」「勉強を続けたい」と思っても、一人ではなかなか続きません。
intro,description,intro_desc_line2,TSUZUKUは、ランキング機能とコミュニティの力で、あなたの努力を「継続」に変えるアプリです。
intro,description,intro_desc_line3,仲間と競い合い、励まし合うことで、自然と机に向かう習慣が身につきます。
features,card1_title,ranking_title,ランキングで熱くなる
features,card1_subtitle,ranking_subtitle,早起きと学習が「ポイント」に変わる
features,card1_description,ranking_description,起床成功で10点、学習1日で5.5点。毎日の頑張りがスコア化され、ライバルと順位を競い合えます。ゲーム感覚だから、苦しい朝も起きられます。
features,card2_title,visualization_title,努力を可視化する
features,card2_subtitle,visualization_subtitle,連続記録（ストリーク）を伸ばそう
features,card2_description,visualization_description,「何日続いたか」「何ページ進んだか」がグラフで見える化されます。積み上げた記録が自信になり、途切れさせたくない心理が働きます。
tracking,section_title,tracking_title,モチベーション機能の特徴
tracking,feature1_title,realtime_title,リアルタイム順位
tracking,feature1_description,realtime_desc,月間ランキングで自分の立ち位置を確認。
tracking,feature2_title,badge_title,豪華景品獲得
tracking,feature2_description,badge_desc,ランキングで上位になれば特別景品をプレゼント予定。
tracking,feature3_title,log_title,学習ログ・グラフ
tracking,feature3_description,log_desc,毎日の起床時間と学習量を一目で把握。
community,section_title,community_title_part1,孤独な学習にさよなら。
community,section_title,community_title_part2,仲間がいるコミュニティ
community,description,community_desc_line1,「起きたよ！」「今日も頑張ろう」と声をかけ合える掲示板機能。
community,description,community_desc_line2,同じ目標を持つ仲間がいるから、挫折しません。
community,feature1_title,encourage_title,励まし合いでモチベ維持
community,feature1_description,encourage_desc,誰かの頑張りがあなたの刺激になります。質問や相談も可能です。
community,feature2_title,safety_title,健全な環境で安心
community,feature2_description,safety_desc,通報機能や管理体制で、学習に集中できるポジティブな場を提供します。
community,feature3_title,free_title,まずは無料で参加
community,feature3_description,free_desc,アプリを入れるだけで、すぐに仲間の投稿が見られます。
footer_cta,label,cta_label,継続率アップの決定版
footer_cta,title,cta_title_part1,あなたの朝を変えるアプリを
footer_cta,title,cta_title_part2,今すぐ手に入れよう
footer_cta,description,cta_desc_line1,まずは無料でダウンロードして、ランキングを覗いてみませんか？
footer_cta,description,cta_desc_line2,三日坊主の自分を変えるチャンスです。
footer_cta,button,cta_button,無料でダウンロードする
footer,logo,app_name,TSUZUKU
footer,social,social_text,アプリ公式:
footer,social,social_handle,@tsuzuku_app
footer,link,terms_link,利用規約・お問い合わせ
footer,link,privacy_link,プライバシーポリシー
footer,copyright,copyright_text,© 2025 TSUZUKU All Rights Reserved.